ville - village,provinces,communes
dankuy,,
dankuy,,
dano,,
danou,,
dantchadi,,
dantiera,,
dantiere,,
danwassara,,
dao,,
daogo,,
daouirba,,
dapala,,
dapelgo,,
dapelgo,,
dapelogo,,
dapera,,
dapili,,
dapladio,,
dapola,,
dapolo,,
dapoury,,
dar-es-salam,,
dara,,
darba,,
darbilin,,
dare,,
darga,,
dargo,,
dargouma,,
darigma,,
darigma,,
darkoa,,
darkoye,,
darkoye,,
darodine,,
darou,,
darounkayrou,,
darsalam,,
darsalam,,
darsalam,,
darsalam,,
darsalam,,
darsalam,,
darsalamy,,
dasamlagfo,,
dasmesma,,
dassa,,
dassambimba,,
dassambin,,
dassamkande,,
dassanga,,
dassara,,
dassari,,
dassi,,
dassimpouigo,,
dassoui,,
datambi,,
datomo,,
datougou,,
dattou,,
daumogomde,,
dawaka,,
dawaka,,
dawanegomde,,
dawanegomde,,
dawega,,
dawelgue,,
dawera,,
dayagretenga,,
dayasmnore,,
dayasmnore,,
dayede,,
dayere,,
dayoubsi,,
dazankiema,,
dazanre,,
dazanrin,,
daze,,
dazinre,,
dazouba,,
dazouri,,
debe,,
debe,,
debentia,,
debere,,
debere,,
debere,,
debere,,
debere,,
debere-douman,,
debere-ling,,
debere-nangue,,
debeyel,,
dedera,,
dega,,
degue-degue,,
deguele,,
deibanga,,
deibanga,,
deibere,,
deina,,
dekouda,,
delba,,
delga,,
delga,,
delguin-yarce,,
delouteon,,
dem,,
dema,,
demapouin,,
dembelela,,
dembila-mossi,,
dembila-peulh,,
dembo,,
dembrediesse,,
demni,,
demniol,,
demtou,,
denean,,
deneon,,
denga,,
denissa-marka,,
denissa-mossi,,
denkoro,,
deou,,
derbar,,
dere,,
dere,,
deregouan,,
deregoue,,
deregoue,,
derga,,
dergane,,
derhogo,,
derpon,,
desse,,
desse,,
desso,,
di,,
diabatou,,
diabatou,,
diabiga,,
diabo,,
diabonli,,
diadori,,
diafouanou,,
diagadere,,
diagargou,,
diagatao-mossi,,
diagatao-rimaibe,,
diagnon,,
diagourou,,
diaka,,
diakarga,,
diakarga-peulh,,
dialafanka,,
dialakoro,,
dialakoro,,
dialgaye,,
dialla,,
diallo,,
diamahoun,,
diamanga,,
diamanga,,
diamasso,,
diambile,,
diamdiara,,
diamdiara,,
diamoanyouli,,
diamon,,
dian,,
dian,,
diana,,
dianalaye,,
dianga,,
dianga,,
diangaie,,
diangara,,
dianghin,,
diangou,,
diankonga,,
diankongou,,
diankonli,,
diankoudoungou,,
dianle,,
dianra,,
diansi,,
dianthou,,
dianzoe,,
diao,,
diaounga,,
diapangou,,
diapangou-peulh,,
diapoadougou,,
diara,,
diarabakoko,,
diaradougou,,
diarakorosso,,
diare,,
diarkadougou,,
diarra,,
diarra,,
diarra-betongo,,
diarradougou,,
diassa,,
diassaga,,
diassanga,,
diassara,,
diasser,,
diatou,,
diattara,,
diaya,,
dibgho,,
dibien,,
dibilou,,
dibissi,,
dibli,,
didcomba,,
didie,,
didie,,
didiemba,,
didri,,
didro,,
didyr,,
die,,
diebe,,
diebiro,,
diebroudouo,,
diefoula,,
diegbala,,
diegbanao,,
diekan,,
diekuini,,
diekuy,,
diela,,
diele,,
dielkou,,
diella,,
dieme,,
diena,,
dienbende,,
dienbende-diori,,
dienemena,,
dienwely,,
diepo,,
diere,,
dieri,,
dieri,,
dierisso,,
dierisso,,
dierko,,
dierma,,
difitara,,
digani,,
digre,,
diguel,,
diguel,,
diguila,,
dikomtinga,,
dikpere,,
dima,,
dimboro,,
dimenemina,,
dimianema,,
dimibo,,
dimikuy,,
dimistenga,,
dimkoura,,
dimolo,,
dimpaltenga,,
dimpaltenga-peulh,,
dimtenga,,
dimvousse,,
din,,
dina,,
dina,,
dinalaye,,
dinaoro,,
dindeogo,,
dinderesso,,
dindiaradougou-nemato,,
dindirgui,,
dindou,,
dingasso,,
dingasso,,
dingasso,,
dingla,,
dinguila-peulh,,
dinguilgua,,
dinguiri,,
dininemina,,
dinkabra,,
dinkiena,,
dintolo,,
dio,,
dio,,
dio,,
diobbou,,
diofoloma,,
diogora,,
diogota,,
diole,,
diolompo,,
diomanidougou,,
diomena,,
diomsogui,,
diona,,
diondione,,
diondougou,,
dionfirga,,
diongolo,,
dionkele,,
dionkongo,,
dionouna,,
dionsera-birifor,,
dionsera-lobi,,
dionso,,
diontala,,
diori-yagha,,
dioro,,
dioro-folgou,,
diosso,,
diossogo,,
diou,,
diouga,,
diougou,,
dioumouon,,
dioungodio,,
diourao,,
diouroum,,
dipeo,,
dipienga,,
dira,,
dirihore,,
dirlakou,,
dirze,,
dissa,,
dissankuy,,
dissi,,
dissiam,,
dissieton,,
dissin,,
dissini,,
dissomey,,
divolet,,
diyou,,
djallo,,
djamkolga,,
djamo,,
djandoro,,
djanga,,
djansia,,
djantiogo,,
djaoutel,,
djassa,,
djatakoro,,
djayel,,
djegbanao,,
djegonao,,
djem,,
djepera,,
djianvour,,
djibali,,
djibasso,,
djibondi,,
djide,,
djieguerinto,,
djiengue,,
djiepera,,
djigo,,
djigouan,,
djigoue,,
djigouema,,
djigouera,,
djigouera,,
djika,,
djikando,,
djikologo,,
djimagli,,
djimbara,,
djin,,
djindjerma,,
djinfoaga,,
djinko,,
djipla,,
djissasso,,
djoari,,
djoari,,
djondougou,,
djonlera,,
djora,,
djotoulela,,
djoungbal,,
djounkargo,,
djui,,
doaligou,,
doaligou,,
doanghin,,
dobena,,
dobile,,
dobougou,,
dodola,,
dodougou,,
dodougou,,
doffi,,
doga,,
dogberpari,,
